2021/05/06 04:56:55 [INFO] Rancher version f345f127e (f345f127e) is starting
2021/05/06 04:56:55 [INFO] Rancher arguments {ACMEDomains:[] AddLocal:true Embedded:false BindHost: HTTPListenPort:80 HTTPSListenPort:443 K8sMode:auto Debug:false Trace:false NoCACerts:false AuditLogPath:/var/log/auditlog/rancher-api-audit.log AuditLogMaxage:10 AuditLogMaxsize:100 AuditLogMaxbackup:10 AuditLevel:0 Agent:false Features:}
2021/05/06 04:56:55 [INFO] Listening on /tmp/log.sock
2021/05/06 04:56:55 [INFO] Running etcd --data-dir=management-state/etcd --heartbeat-interval=500 --election-timeout=5000
2021/05/06 04:57:01 [INFO] Waiting for k3s to start
2021/05/06 04:57:02 [INFO] Waiting for k3s to start
2021/05/06 04:57:03 [INFO] Waiting for k3s to start
2021/05/06 04:57:04 [INFO] Waiting for k3s to start
2021/05/06 04:57:05 [INFO] Waiting for k3s to start
2021/05/06 04:57:06 [INFO] Waiting for k3s to start
2021/05/06 04:57:07 [INFO] Waiting for k3s to start
2021/05/06 04:57:08 [INFO] Updating CRD settings.management.cattle.io
2021/05/06 04:57:08 [INFO] Updating CRD preferences.management.cattle.io
2021/05/06 04:57:09 [INFO] Updating CRD features.management.cattle.io
2021/05/06 04:57:09 [INFO] Creating CRD clusterrepos.catalog.cattle.io
2021/05/06 04:57:09 [INFO] Creating CRD operations.catalog.cattle.io
2021/05/06 04:57:09 [INFO] Creating CRD apps.catalog.cattle.io
2021/05/06 04:57:09 [INFO] Waiting for CRD apps.catalog.cattle.io to become available
2021/05/06 04:57:09 [INFO] Done waiting for CRD apps.catalog.cattle.io to become available
2021/05/06 04:57:09 [INFO] rate limit for login http request: 1.000000/s
2021/05/06 04:57:09 [INFO] Auth limit cooldown period for login http request: 20s
2021/05/06 04:57:10 [INFO] Starting API controllers
2021/05/06 04:57:11 [INFO] Starting management.cattle.io/v3, Kind=Token controller
2021/05/06 04:57:11 [INFO] Starting management.cattle.io/v3, Kind=User controller
2021/05/06 04:57:11 [INFO] Starting /v1, Kind=Secret controller
2021/05/06 04:57:11 [INFO] Starting management.cattle.io/v3, Kind=GroupMember controller
2021/05/06 04:57:11 [INFO] Starting management.cattle.io/v3, Kind=Group controller
2021/05/06 04:57:11 [INFO] Starting management.cattle.io/v3, Kind=UserAttribute controller
2021/05/06 04:57:11 [INFO] Starting apiextensions.k8s.io/v1beta1, Kind=CustomResourceDefinition controller
2021/05/06 04:57:11 [INFO] Starting rbac.authorization.k8s.io/v1, Kind=ClusterRoleBinding controller
2021/05/06 04:57:11 [INFO] Starting rbac.authorization.k8s.io/v1, Kind=RoleBinding controller
2021/05/06 04:57:11 [INFO] Starting /v1, Kind=Secret controller
2021/05/06 04:57:11 [INFO] Starting apiregistration.k8s.io/v1, Kind=APIService controller
2021/05/06 04:57:11 [INFO] Starting catalog.cattle.io/v1, Kind=ClusterRepo controller
2021/05/06 04:57:11 [INFO] Starting management.cattle.io/v3, Kind=Cluster controller
2021/05/06 04:57:11 [INFO] Starting management.cattle.io/v3, Kind=Preference controller
2021/05/06 04:57:11 [INFO] Starting management.cattle.io/v3, Kind=Feature controller
2021/05/06 04:57:11 [INFO] Starting management.cattle.io/v3, Kind=Setting controller
2021/05/06 04:57:11 [INFO] Starting rbac.authorization.k8s.io/v1, Kind=ClusterRole controller
2021/05/06 04:57:11 [INFO] Starting /v1, Kind=ConfigMap controller
2021/05/06 04:57:11 [INFO] Starting rbac.authorization.k8s.io/v1, Kind=Role controller
2021/05/06 04:57:11 [INFO] Creating CRD fleetworkspaces.management.cattle.io
2021/05/06 04:57:11 [INFO] Waiting for CRD fleetworkspaces.management.cattle.io to become available
2021/05/06 04:57:12 [INFO] Refreshing all schemas
2021/05/06 04:57:12 [INFO] Done waiting for CRD fleetworkspaces.management.cattle.io to become available
2021/05/06 04:57:12 [INFO] Running in single server mode, will not peer connections
2021/05/06 04:57:12 [INFO] rate limit for login http request: 1.000000/s
2021/05/06 04:57:12 [INFO] Auth limit cooldown period for login http request: 20s
2021/05/06 04:57:12 [INFO] Refreshing all schemas
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind Binding
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind ComponentStatus
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind ConfigMap
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind Endpoints
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind Event
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind LimitRange
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind Namespace
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind Node
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind PersistentVolumeClaim
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind PersistentVolume
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind Pod
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind PodTemplate
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind ReplicationController
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind ResourceQuota
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind Secret
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind ServiceAccount
2021/05/06 04:57:12 [INFO] APIVersion /v1 Kind Service
2021/05/06 04:57:12 [INFO] APIVersion apiregistration.k8s.io/v1 Kind APIService
2021/05/06 04:57:12 [INFO] APIVersion apiregistration.k8s.io/v1beta1 Kind APIService
2021/05/06 04:57:12 [INFO] APIVersion extensions/v1beta1 Kind Ingress
2021/05/06 04:57:12 [INFO] APIVersion apps/v1 Kind ControllerRevision
2021/05/06 04:57:12 [INFO] APIVersion apps/v1 Kind DaemonSet
2021/05/06 04:57:12 [INFO] APIVersion apps/v1 Kind Deployment
2021/05/06 04:57:12 [INFO] APIVersion apps/v1 Kind ReplicaSet
2021/05/06 04:57:12 [INFO] APIVersion apps/v1 Kind StatefulSet
2021/05/06 04:57:12 [INFO] APIVersion events.k8s.io/v1beta1 Kind Event
2021/05/06 04:57:12 [INFO] APIVersion authentication.k8s.io/v1 Kind TokenReview
2021/05/06 04:57:12 [INFO] APIVersion authentication.k8s.io/v1beta1 Kind TokenReview
2021/05/06 04:57:12 [INFO] APIVersion authorization.k8s.io/v1 Kind LocalSubjectAccessReview
2021/05/06 04:57:12 [INFO] APIVersion authorization.k8s.io/v1 Kind SelfSubjectAccessReview
2021/05/06 04:57:12 [INFO] APIVersion authorization.k8s.io/v1 Kind SelfSubjectRulesReview
2021/05/06 04:57:12 [INFO] APIVersion authorization.k8s.io/v1 Kind SubjectAccessReview
2021/05/06 04:57:12 [INFO] APIVersion authorization.k8s.io/v1beta1 Kind LocalSubjectAccessReview
2021/05/06 04:57:12 [INFO] APIVersion authorization.k8s.io/v1beta1 Kind SelfSubjectAccessReview
2021/05/06 04:57:12 [INFO] APIVersion authorization.k8s.io/v1beta1 Kind SelfSubjectRulesReview
2021/05/06 04:57:12 [INFO] APIVersion authorization.k8s.io/v1beta1 Kind SubjectAccessReview
2021/05/06 04:57:12 [INFO] APIVersion autoscaling/v1 Kind HorizontalPodAutoscaler
2021/05/06 04:57:12 [INFO] APIVersion autoscaling/v2beta1 Kind HorizontalPodAutoscaler
2021/05/06 04:57:12 [INFO] APIVersion autoscaling/v2beta2 Kind HorizontalPodAutoscaler
2021/05/06 04:57:12 [INFO] APIVersion batch/v1 Kind Job
2021/05/06 04:57:12 [INFO] APIVersion batch/v1beta1 Kind CronJob
2021/05/06 04:57:12 [INFO] APIVersion certificates.k8s.io/v1beta1 Kind CertificateSigningRequest
2021/05/06 04:57:12 [INFO] APIVersion networking.k8s.io/v1 Kind NetworkPolicy
2021/05/06 04:57:12 [INFO] APIVersion networking.k8s.io/v1beta1 Kind IngressClass
2021/05/06 04:57:12 [INFO] APIVersion networking.k8s.io/v1beta1 Kind Ingress
2021/05/06 04:57:12 [INFO] APIVersion policy/v1beta1 Kind PodDisruptionBudget
2021/05/06 04:57:12 [INFO] APIVersion policy/v1beta1 Kind PodSecurityPolicy
2021/05/06 04:57:12 [INFO] APIVersion rbac.authorization.k8s.io/v1 Kind ClusterRoleBinding
2021/05/06 04:57:12 [INFO] APIVersion rbac.authorization.k8s.io/v1 Kind ClusterRole
2021/05/06 04:57:12 [INFO] APIVersion rbac.authorization.k8s.io/v1 Kind RoleBinding
2021/05/06 04:57:12 [INFO] APIVersion rbac.authorization.k8s.io/v1 Kind Role
2021/05/06 04:57:12 [INFO] APIVersion rbac.authorization.k8s.io/v1beta1 Kind ClusterRoleBinding
2021/05/06 04:57:12 [INFO] APIVersion rbac.authorization.k8s.io/v1beta1 Kind ClusterRole
2021/05/06 04:57:12 [INFO] APIVersion rbac.authorization.k8s.io/v1beta1 Kind RoleBinding
2021/05/06 04:57:12 [INFO] APIVersion rbac.authorization.k8s.io/v1beta1 Kind Role
2021/05/06 04:57:12 [INFO] APIVersion storage.k8s.io/v1 Kind CSIDriver
2021/05/06 04:57:12 [INFO] APIVersion storage.k8s.io/v1 Kind CSINode
2021/05/06 04:57:12 [INFO] APIVersion storage.k8s.io/v1 Kind StorageClass
2021/05/06 04:57:12 [INFO] APIVersion storage.k8s.io/v1 Kind VolumeAttachment
2021/05/06 04:57:12 [INFO] APIVersion storage.k8s.io/v1beta1 Kind CSIDriver
2021/05/06 04:57:12 [INFO] APIVersion storage.k8s.io/v1beta1 Kind CSINode
2021/05/06 04:57:12 [INFO] APIVersion storage.k8s.io/v1beta1 Kind StorageClass
2021/05/06 04:57:12 [INFO] APIVersion storage.k8s.io/v1beta1 Kind VolumeAttachment
2021/05/06 04:57:12 [INFO] APIVersion admissionregistration.k8s.io/v1 Kind MutatingWebhookConfiguration
2021/05/06 04:57:12 [INFO] APIVersion admissionregistration.k8s.io/v1 Kind ValidatingWebhookConfiguration
2021/05/06 04:57:12 [INFO] APIVersion admissionregistration.k8s.io/v1beta1 Kind MutatingWebhookConfiguration
2021/05/06 04:57:12 [INFO] APIVersion admissionregistration.k8s.io/v1beta1 Kind ValidatingWebhookConfiguration
2021/05/06 04:57:12 [INFO] APIVersion apiextensions.k8s.io/v1 Kind CustomResourceDefinition
2021/05/06 04:57:12 [INFO] APIVersion apiextensions.k8s.io/v1beta1 Kind CustomResourceDefinition
2021/05/06 04:57:12 [INFO] APIVersion scheduling.k8s.io/v1 Kind PriorityClass
2021/05/06 04:57:12 [INFO] APIVersion scheduling.k8s.io/v1beta1 Kind PriorityClass
2021/05/06 04:57:12 [INFO] APIVersion coordination.k8s.io/v1 Kind Lease
2021/05/06 04:57:12 [INFO] APIVersion coordination.k8s.io/v1beta1 Kind Lease
2021/05/06 04:57:12 [INFO] APIVersion node.k8s.io/v1beta1 Kind RuntimeClass
2021/05/06 04:57:12 [INFO] APIVersion discovery.k8s.io/v1beta1 Kind EndpointSlice
2021/05/06 04:57:12 [INFO] APIVersion catalog.cattle.io/v1 Kind ClusterRepo
2021/05/06 04:57:12 [INFO] APIVersion catalog.cattle.io/v1 Kind App
2021/05/06 04:57:12 [INFO] APIVersion catalog.cattle.io/v1 Kind Operation
2021/05/06 04:57:12 [INFO] APIVersion helm.cattle.io/v1 Kind HelmChart
2021/05/06 04:57:12 [INFO] APIVersion k3s.cattle.io/v1 Kind Addon
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind Feature
