2021/04/30 06:43:24 [INFO] Rancher version 2c96076f4 (2c96076f4) is starting
2021/04/30 06:43:24 [INFO] Rancher arguments {ACMEDomains:[] AddLocal:true Embedded:false BindHost: HTTPListenPort:80 HTTPSListenPort:443 K8sMode:auto Debug:false Trace:false NoCACerts:false AuditLogPath:/var/log/auditlog/rancher-api-audit.log AuditLogMaxage:10 AuditLogMaxsize:100 AuditLogMaxbackup:10 AuditLevel:0 Agent:false Features:}
2021/04/30 06:43:24 [INFO] Listening on /tmp/log.sock
2021/04/30 06:43:24 [INFO] Running etcd --data-dir=management-state/etcd --heartbeat-interval=500 --election-timeout=5000
2021/04/30 06:43:29 [INFO] Waiting for k3s to start
2021/04/30 06:43:30 [INFO] Waiting for k3s to start
2021/04/30 06:43:31 [INFO] Waiting for k3s to start
2021/04/30 06:43:32 [INFO] Waiting for k3s to start
2021/04/30 06:43:33 [INFO] Waiting for k3s to start
2021/04/30 06:43:34 [INFO] Waiting for k3s to start
2021/04/30 06:43:35 [INFO] Waiting for k3s to start
2021/04/30 06:43:36 [INFO] Updating CRD settings.management.cattle.io
2021/04/30 06:43:36 [INFO] Updating CRD preferences.management.cattle.io
2021/04/30 06:43:36 [INFO] Updating CRD features.management.cattle.io
2021/04/30 06:43:36 [INFO] Creating CRD clusterrepos.catalog.cattle.io
2021/04/30 06:43:36 [INFO] Creating CRD operations.catalog.cattle.io
2021/04/30 06:43:36 [INFO] Creating CRD apps.catalog.cattle.io
2021/04/30 06:43:36 [INFO] Waiting for CRD apps.catalog.cattle.io to become available
2021/04/30 06:43:37 [INFO] Done waiting for CRD apps.catalog.cattle.io to become available
2021/04/30 06:43:37 [INFO] rate limit for login http request: 1.000000/s
2021/04/30 06:43:37 [INFO] Auth limit cooldown period for login http request: 20s
2021/04/30 06:43:38 [INFO] Starting API controllers
2021/04/30 06:43:38 [INFO] Starting management.cattle.io/v3, Kind=UserAttribute controller
2021/04/30 06:43:38 [INFO] Starting /v1, Kind=Secret controller
2021/04/30 06:43:38 [INFO] Starting management.cattle.io/v3, Kind=GroupMember controller
2021/04/30 06:43:38 [INFO] Starting management.cattle.io/v3, Kind=Group controller
2021/04/30 06:43:38 [INFO] Starting management.cattle.io/v3, Kind=User controller
2021/04/30 06:43:38 [INFO] Starting management.cattle.io/v3, Kind=Token controller
2021/04/30 06:43:38 [INFO] Starting management.cattle.io/v3, Kind=Preference controller
2021/04/30 06:43:38 [INFO] Starting catalog.cattle.io/v1, Kind=ClusterRepo controller
2021/04/30 06:43:38 [INFO] Starting apiextensions.k8s.io/v1beta1, Kind=CustomResourceDefinition controller
2021/04/30 06:43:38 [INFO] Starting management.cattle.io/v3, Kind=Setting controller
2021/04/30 06:43:38 [INFO] Starting rbac.authorization.k8s.io/v1, Kind=RoleBinding controller
2021/04/30 06:43:38 [INFO] Starting /v1, Kind=ConfigMap controller
2021/04/30 06:43:38 [INFO] Starting rbac.authorization.k8s.io/v1, Kind=ClusterRole controller
2021/04/30 06:43:38 [INFO] Starting rbac.authorization.k8s.io/v1, Kind=ClusterRoleBinding controller
2021/04/30 06:43:38 [INFO] Starting /v1, Kind=Secret controller
2021/04/30 06:43:38 [INFO] Starting management.cattle.io/v3, Kind=Cluster controller
2021/04/30 06:43:38 [INFO] Starting apiregistration.k8s.io/v1, Kind=APIService controller
2021/04/30 06:43:38 [INFO] Starting management.cattle.io/v3, Kind=Feature controller
2021/04/30 06:43:38 [INFO] Starting rbac.authorization.k8s.io/v1, Kind=Role controller
2021/04/30 06:43:38 [INFO] Creating CRD fleetworkspaces.management.cattle.io
